BSS Id,Receiver address,Type/Subtype,PHY type,MCS Index,Bandwidth,Short GI,Data rate,Channel,Frequency,Signal strength,Signal/noise ratio,Retry,TSF Timestamp
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,430796848
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-32 dBm,63 dB,0,430899287
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-32 dBm,63 dB,0,431001664
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,431104099
2c:f8:9b:dd:06:a0,00:0e:58:12:31:16,Type/Subtype: Probe Response (0x0005),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-36 dBm,59 dB,0,431147781
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,431206486
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-32 dBm,63 dB,0,431308903
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-32 dBm,63 dB,0,431411248
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,431513682
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,431616099
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,431718453
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-32 dBm,63 dB,0,431820848
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-34 dBm,61 dB,0,431923274
2c:f8:9b:dd:06:a0,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11g (ERP) (6),N/A,20 MHz,Not supported,9.0 Mbps,DS Parameter set: Current Channel: 1,2412,-32 dBm,63 dB,0,432025674
