BSS Id,Receiver address,Type/Subtype,PHY type,MCS Index,Bandwidth,Short GI,Data rate,Channel,Frequency,Signal strength,Signal/noise ratio,Retry,TSF Timestamp
0c:67:14:92:8c:44,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11a (OFDM) (5),N/A,80 MHz,Supported,6.0 Mbps,11,5180,-49 dBm,46 dB,0,3532646400065
0c:67:14:92:8c:44,ff:ff:ff:ff:ff:ff,Type/Subtype: Data (0x0020),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,6.0 Mbps,36,5180,-49 dBm,46 dB,0,1041929564
00:25:00:ff:94:73,ff:ff:ff:ff:ff:ff,Type/Subtype: Action (0x000d),PHY type: 802.11a (OFDM) (5),N/A,40 MHz,Not supported,12.0 Mbps,36,5180,-51 dBm,44 dB,0,1041935443
78:4f:24:76:49:25,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11a (OFDM) (5),N/A,80 MHz,Not supported,6.0 Mbps,122,5180,-85 dBm,10 dB,0,896221388878
e0:b6:68:16:82:38,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11a (OFDM) (5),N/A,80 MHz,Not supported,6.0 Mbps,3,5180,-89 dBm,6 dB,0,1768987750473
c0:9f:51:69:83:55,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11a (OFDM) (5),N/A,80 MHz,Supported,6.0 Mbps,11,5180,-69 dBm,26 dB,0,1525234278472
7a:4f:24:46:49:25,ff:ff:ff:ff:ff:ff,Type/Subtype: Beacon frame (0x0008),PHY type: 802.11a (OFDM) (5),N/A,80 MHz,Not supported,6.0 Mbps,122,5180,-85 dBm,10 dB,0,896221388876
0c:67:14:92:8c:44,0c:67:14:92:8c:44,Type/Subtype: Null function (No data) (0x0024),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-54 dBm,41 dB,0,1041973554
N/A,be:19:e4:1c:ae:a6,Type/Subtype: Acknowledgement (0x001d),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-47 dBm,48 dB,0,1041973602
N/A,0c:67:14:92:8c:44,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-53 dBm,42 dB,0,1041973728
N/A,be:19:e4:1c:ae:a6,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-47 dBm,48 dB,0,1041973772
0c:67:14:92:8c:44,0c:67:14:92:8c:44,Type/Subtype: QoS Data (0x0028),PHY type: 802.11ax (HE) (11),N/A,N/A,False,258.1 Mbps,36,5180,-57 dBm,38 dB,0,1041973828
N/A,be:19:e4:1c:ae:a6,Type/Subtype: 802.11 Block Ack (0x0019),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-47 dBm,48 dB,0,1041973903
N/A,be:19:e4:1c:ae:a6,Type/Subtype: VHT/HE/EHT/RANGING NDP Announcement (0x0015),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-49 dBm,46 dB,0,1041976827
0c:67:14:92:8c:44,0c:67:14:92:8c:44,Type/Subtype: Action No Ack (0x000e),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-52 dBm,43 dB,0,1041976969
N/A,be:19:e4:1c:ae:a6,Type/Subtype: Request-to-send (0x001b),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-48 dBm,47 dB,0,1041977667
N/A,0c:67:14:92:8c:44,Type/Subtype: Clear-to-send (0x001c),PHY type: 802.11a (OFDM) (5),N/A,N/A,False,24.0 Mbps,36,5180,-52 dBm,43 dB,0,1041977711
